"국가별",2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020
"국가별",밀 (M/T),경작면적당 생산량 (kg/ha),옥수수 (M/T),경작면적당 생산량 (kg/ha),밀 (M/T),경작면적당 생산량 (kg/ha),옥수수 (M/T),경작면적당 생산량 (kg/ha),밀 (M/T),경작면적당 생산량 (kg/ha),옥수수 (M/T),경작면적당 생산량 (kg/ha),밀 (M/T),경작면적당 생산량 (kg/ha),옥수수 (M/T),경작면적당 생산량 (kg/ha),밀 (M/T),경작면적당 생산량 (kg/ha),옥수수 (M/T),경작면적당 생산량 (kg/ha),밀 (M/T),경작면적당 생산량 (kg/ha),옥수수 (M/T),경작면적당 생산량 (kg/ha),밀 (M/T),경작면적당 생산량 (kg/ha),옥수수 (M/T),경작면적당 생산량 (kg/ha),밀 (M/T),경작면적당 생산량 (kg/ha),옥수수 (M/T),경작면적당 생산량 (kg/ha),밀 (M/T),경작면적당 생산량 (kg/ha),옥수수 (M/T),경작면적당 생산량 (kg/ha),밀 (M/T),경작면적당 생산량 (kg/ha),옥수수 (M/T),경작면적당 생산량 (kg/ha),밀 (M/T),경작면적당 생산량 (kg/ha),옥수수 (M/T),경작면적당 생산량 (kg/ha)
"중국",115186178,4748,177540788,5460,117414034,4837,192904232,5748,121030059,4987,205719284,5870,121930527,5055,218621905,6016,126215211,5243,215812100,5809,132646335,5392,265157307,5893,133274638,5396,263777750,5967,134246679,5484,259256299,6110,131446596,5416,257348659,6104,133601131,5629,260957662,6317,134254710,5742,260876476,6318
"인도",80803600,2840,21725800,2540,86874000,2989,21760000,2478,94880000,3178,22260000,2556,93510000,3154,24259510,2573,95850000,3146,24170000,2611,86530000,2750,22570000,2597,92290000,3034,25900000,2616,98510220,3200,25899870,2689,99869520,3368,28752880,3065,103596230,3533,27715100,3070,107590000,3431,30160000,3057
"미국",60062408,3117,315617920,9576,54418808,2942,312788890,9215,61677384,3115,273192400,7727,58104610,3167,351271870,9926,55147120,2938,361091140,10733,55839540,2930,345486340,10572,62831507,3541,412262180,11743,47379810,3118,371096030,11084,51305540,3201,364262150,11075,52580890,3475,345962110,10510,49690680,3342,360251560,10795
"브라질",6171250,2829,55364271,4367,5690043,2660,55660235,4211,4418388,2310,71072810,5006,5738473,2749,80273172,5254,6261895,2209,79881614,5176,5508451,2228,85283074,5535,6834421,3155,64188314,4288,4342812,2279,97910658,5618,5469236,2629,82366531,5108,5590815,2658,101126409,5773,6347987,2607,103963620,5696
"러시아",41507581,1918,3084351,3009,56239994,2265,6962438,4344,37719640,1773,8212924,4239,52090797,2229,11634943,5011,59711382,2498,11332138,4359,61785799,2388,13173296,4934,73345679,2685,15281594,5503,86002542,3125,13208095,4888,72136149,2725,11419020,4807,74452692,2702,14282352,5699,85896326,2976,13879210,5081
